RFPminusBG,YFPminusBG
0.000847687,0.028076398
0.000290725,0.039550702
0.004461224,0.000744749
0.021753443,0.00094624
0.005288712,0.000423385
0.003394042,0.011867607
0.002415705,0.001574724
0.005796679,0.000552575
0.005869424,0.001843527
1.00E-25,0.031920833
